Index,Quarter,TA125,D3-125,P-CHANGE125,TA-125-CLOSE,TA125-LAG1,TA125-LAG2,TA125-LAG3,TA125-LAG4,TA125-LAG1-R,TA125-LAG2-R,TA125-LAG3-R,TA125-LAG4-R,UNEMP,UNEMP-LAG1,UNEMP-LAG2,UNEMP-LAG3,UNEMP-LAG4,UNEMP-LAG1-DIFF,UNEMP-LAG2-DIFF,UNEMP-LAG3-DIFF,UNEMP-LAG4-DIFF,GDP,GDP-LAG1,GDP-LAG2,GDP-LAG3,GDP-LAG4,GDP-LAG1-R,GDP-LAG2-R,GDP-LAG3-R,GDP-LAG4-R,Prime,Prime-LAG1,Prime-LAG2,Prime-LAG3,Prime-LAG4,Prime-LAG1-DIFF,Prime-LAG2-DIFF,Prime-LAG3-DIFF,Prime-LAG4-DIFF,CP-I,CP-I-LAG1,CP-I-LAG2,CP-I-LAG3,CP-I-LAG4,CP-I-LAG1-R,CP-I-LAG2-R,CP-I-LAG3-R,CP-I-LAG4-R,CB-LENSER-S-b,CB-LENSER-S-p,CB-BORRWER-S-b,CB-BORRWER-S-p,PROVISION-b,PROVISION-p,Dummy-t
30/09/2001,09-Jan,382.71875,0,-0.127835,360.37,413.19,382.13,489.25,559.16,-0.127835,-0.056944,-0.263424,-0.355515,0.117931,0.109397,0.10701,0.11012,0.110478,0.008534,0.010921,0.007811,0.007453,178888.936,180772.116,181380.661,183559.348,183604.798,-0.010417,-0.013738,-0.025444,-0.025685,7.8,8.4,8.97,9.67,10.37,-0.6,-1.17,-1.17,-2.57,76.900587,76.22338,75.019457,75.386631,75.033035,0.008885,0.008885,0.020083,0.02489,329.392437,62.223689,335.499475,63.077208,0.018203,0.013531,0
31/12/2001,12-Jan,408.633182,0,0.239809,446.79,360.37,413.19,382.13,489.25,0.239809,0.081319,0.169209,-0.086786,0.126522,0.117931,0.109397,0.10701,0.11012,0.008591,0.017125,0.019512,0.016402,178145.435,178888.936,180772.116,181380.661,183559.348,-0.004156,-0.01453,-0.017837,-0.029494,6.85,7.8,8.4,8.97,9.67,-0.95,-1.55,-1.55,-2.82,76.449116,76.900587,76.22338,75.019457,75.386631,-0.005871,-0.005871,0.019057,0.014094,333.214493,63.330646,339.905723,64.056031,0.019686,0.011324,0
31/03/2002,03-Feb,403.66,-0.01,-0.151234,379.22,446.79,360.37,413.19,382.13,-0.151234,0.052307,-0.082214,-0.007615,0.128413,0.126522,0.117931,0.109397,0.10701,0.001891,0.010482,0.019016,0.021403,178643.658,178145.435,178888.936,180772.116,181380.661,0.002797,-0.001371,-0.011774,-0.01509,5.86,6.85,7.8,8.4,8.97,-0.99,-1.94,-1.94,-3.11,78.255,76.449116,76.900587,76.22338,75.019457,0.023622,0.023622,0.026654,0.043129,344.536155,62.641214,351.664207,63.423187,0.020269,0.012329,1
30/06/2002,06-Feb,361.228095,-0.11,-0.057566,357.39,379.22,446.79,360.37,413.19,-0.057566,-0.200094,-0.008269,-0.135047,0.128184,0.128413,0.126522,0.117931,0.109397,-0.000229,0.001662,0.010253,0.018787,179621.314,178643.658,178145.435,178888.936,180772.116,0.005473,0.008285,0.004094,-0.006366,8.2,5.86,6.85,7.8,8.4,2.34,1.35,1.35,-0.2,81.264808,78.255,76.449116,76.900587,76.22338,0.038462,0.038462,0.056751,0.06614,352.344726,64.402108,360.134783,65.180892,0.021631,0.011948,1
30/09/2002,09-Feb,351.967895,-0.03,-0.057752,336.75,357.39,379.22,446.79,360.37,-0.057752,-0.111993,-0.24629,-0.065544,0.128027,0.128184,0.128413,0.126522,0.117931,-0.000157,-0.000386,0.001505,0.010096,179708.049,179621.314,178643.658,178145.435,178888.936,0.000483,0.005958,0.008772,0.004579,10.6,8.2,5.86,6.85,7.8,2.4,4.74,4.74,2.8,81.791524,81.264808,78.255,76.449116,76.900587,0.006481,0.006481,0.069882,0.063601,357.899297,65.975365,366.374508,66.726821,0.023133,0.011262,1
31/12/2002,12-Feb,352.874783,0,-0.012769,332.45,336.75,357.39,379.22,446.79,-0.012769,-0.069784,-0.123332,-0.255914,0.125755,0.128027,0.128184,0.128413,0.126522,-0.002272,-0.002429,-0.002658,-0.000767,179329.179,179708.049,179621.314,178643.658,178145.435,-0.002108,-0.001626,0.003837,0.006645,10.56,10.6,8.2,5.86,6.85,-0.04,2.36,2.36,3.71,81.415298,81.791524,81.264808,78.255,76.449116,-0.0046,-0.0046,0.040385,0.064961,354.131042,65.568113,363.245039,66.290813,0.02509,0.010902,1
31/03/2003,03-Mar,335.584286,-0.05,0.027794,341.69,332.45,336.75,357.39,379.22,0.027794,0.01467,-0.04393,-0.098966,0.13292,0.125755,0.128027,0.128184,0.128413,0.007165,0.004893,0.004736,0.004507,181352.237,179329.179,179708.049,179621.314,178643.658,0.011281,0.009149,0.009637,0.015162,10.37,10.56,10.6,8.2,5.86,-0.19,-0.23,-0.23,4.51,82.049465,81.415298,81.791524,81.264808,78.255,0.007789,0.007789,0.009656,0.048488,349.924835,63.92284,359.327294,64.691815,0.026167,0.011887,1
30/06/2003,06-Mar,438.265714,0,0.326934,453.4,341.69,332.45,336.75,357.39,0.326934,0.363814,0.346399,0.268642,0.128239,0.13292,0.125755,0.128027,0.128184,-0.004681,0.002484,0.000212,5.50E-05,180989.918,181352.237,179329.179,179708.049,179621.314,-0.001998,0.009261,0.007133,0.007619,9.42,10.37,10.56,10.6,8.2,-0.95,-1.14,-1.14,1.22,81.004761,82.049465,81.415298,81.791524,81.264808,-0.012733,-0.012733,-0.009619,-0.0032,335.48594,64.810871,345.103452,65.663153,0.027868,0.01298,1
30/09/2003,09-Mar,424.076667,-0.03,-0.047022,432.08,453.4,341.69,332.45,336.75,-0.047022,0.264538,0.299684,0.283088,0.134257,0.128239,0.13292,0.125755,0.128027,0.006018,0.001337,0.008502,0.00623,182643.702,180989.918,181352.237,179329.179,179708.049,0.009137,0.007121,0.018483,0.016336,7.92,9.42,10.37,10.56,10.6,-1.5,-2.45,-2.45,-2.68,80.201142,81.004761,82.049465,81.415298,81.791524,-0.009921,-0.009921,-0.014913,-0.019444,336.601153,65.738971,346.64368,66.56675,0.028971,0.012435,1
31/12/2003,12-Mar,513.229565,0,0.236785,534.39,432.08,453.4,341.69,332.45,0.236785,0.178628,0.563961,0.60743,0.135459,0.134257,0.128239,0.13292,0.125755,0.001202,0.00722,0.002539,0.009704,183409.196,182643.702,180989.918,181352.237,179329.179,0.004191,0.013367,0.011342,0.022752,6.7,7.92,9.42,10.37,10.56,-1.22,-2.72,-2.72,-3.86,79.879695,80.201142,81.004761,82.049465,81.415298,-0.004008,-0.004008,-0.026445,-0.018861,335.384923,66.985504,345.750366,67.80559,0.02998,0.012095,0
31/03/2004,03-Apr,571.109546,0,0.059283,566.07,534.39,432.08,453.4,341.69,0.059283,0.310105,0.2485,0.656677,0.13631,0.135459,0.134257,0.128239,0.13292,0.000851,0.002053,0.008071,0.00339,187612.751,183409.196,182643.702,180989.918,181352.237,0.022919,0.027206,0.036592,0.034521,5.8,6.7,7.92,9.42,10.37,-0.9,-2.12,-2.12,-4.57,79.799333,79.879695,80.201142,81.004761,82.049465,-0.001006,-0.001006,-0.014881,-0.027424,335.736931,65.715453,345.875456,66.804437,0.029313,0.016301,0
30/06/2004,06-Apr,582.555,0,0.053297,596.24,566.07,534.39,432.08,453.4,0.053297,0.115739,0.37993,0.315042,0.13072,0.13631,0.135459,0.134257,0.128239,-0.00559,-0.004739,-0.003537,0.002481,188982.016,187612.751,183409.196,182643.702,180989.918,0.007298,0.030385,0.034703,0.044158,5.6,5.8,6.7,7.92,9.42,-0.2,-1.1,-1.1,-3.82,81.004761,79.799333,79.879695,80.201142,81.004761,0.015106,0.015106,0.01002,0,332.404065,66.022686,342.575449,67.108173,0.029691,0.016175,0
30/09/2004,09-Apr,559.8175,-0.04,-0.062508,558.97,596.24,566.07,534.39,432.08,-0.062508,-0.012543,0.045996,0.293672,0.125363,0.13072,0.13631,0.135459,0.134257,-0.005357,-0.010947,-0.010096,-0.008894,191311.59,188982.016,187612.751,183409.196,182643.702,0.012327,0.019715,0.043086,0.047458,5.6,5.6,5.8,6.7,7.92,0,-0.2,-0.2,-2.32,80.844037,81.004761,79.799333,79.879695,80.201142,-0.001984,-0.001984,0.012072,0.008016,330.092531,66.610857,340.83176,67.704244,0.031509,0.016149,0
